Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
Search - Landscaping & Patios,Patios,patio company near me,Phrase,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Patios,patio installers near me,Phrase,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Patios,new patio cost,Phrase,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Fencing,garden fencing aylesbury,Exact,1.80,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Fencing,fence installers aylesbury,Exact,1.80,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Fencing,garden fencing near me,Phrase,1.80,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Fencing,fence fitters near me,Phrase,1.80,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Turfing & New Lawns,turfing aylesbury,Exact,1.70,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Turfing & New Lawns,turf laying service aylesbury,Exact,1.70,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Turfing & New Lawns,new lawn laid near me,Phrase,1.70,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Turfing & New Lawns,turfing service near me,Phrase,1.70,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Landscaping - Generic,landscaping aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Landscaping - Generic,landscapers aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Landscaping - Generic,landscape gardeners aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Landscaping - Generic,landscape gardeners near me,Phrase,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Landscaping - Generic,garden landscaping near me,Phrase,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Garden Design & Planting,Garden Design,garden design aylesbury,Exact,1.80,https://jw-gardenservices.co.uk/services/garden-design-and-planting?utm_source=google&utm_medium=cpc&utm_campaign=design,Paused
Search - Garden Design & Planting,Garden Design,garden designer aylesbury,Exact,1.80,https://jw-gardenservices.co.uk/services/garden-design-and-planting?utm_source=google&utm_medium=cpc&utm_campaign=design,Paused
Search - Garden Design & Planting,Garden Design,garden design near me,Phrase,1.80,https://jw-gardenservices.co.uk/services/garden-design-and-planting?utm_source=google&utm_medium=cpc&utm_campaign=design,Paused
Search - Garden Design & Planting,Garden Design,planting plan garden,Phrase,1.80,https://jw-gardenservices.co.uk/services/garden-design-and-planting?utm_source=google&utm_medium=cpc&utm_campaign=design,Paused
Search - Garden Design & Planting,Garden Design,garden redesign service,Phrase,1.80,https://jw-gardenservices.co.uk/services/garden-design-and-planting?utm_source=google&utm_medium=cpc&utm_campaign=design,Paused
Search - Commercial Grounds,Commercial Grounds,commercial grounds maintenance aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/commercial-grounds-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=commercial,Paused
Search - Commercial Grounds,Commercial Grounds,grounds maintenance aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/commercial-grounds-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=commercial,Paused
Search - Commercial Grounds,Commercial Grounds,commercial gardening services,Phrase,2.00,https://jw-gardenservices.co.uk/services/commercial-grounds-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=commercial,Paused
Search - Commercial Grounds,Commercial Grounds,grounds maintenance contractors near me,Phrase,2.00,https://jw-gardenservices.co.uk/services/commercial-grounds-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=commercial,Paused
Search - Commercial Grounds,Commercial Grounds,office grounds maintenance,Phrase,2.00,https://jw-gardenservices.co.uk/services/commercial-grounds-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=commercial,Paused
